number, name
5586,Lausanne
5586,Lausanne
5586,Lausanne
5586,Lausanne
5586,Lausanne
5586,Lausanne
5586,Lausanne
5586,Lausanne
5589,Prilly
5591,Renens (VD)
5585,Jouxtens-Mézery
5590,Pully
5586,Lausanne
5586,Lausanne
5586,Lausanne
5627,Chavannes-près-Renens
5635,Ecublens (VD)
5648,Saint-Sulpice (VD)
5586,Lausanne
5591,Renens (VD)
5627,Chavannes-près-Renens
5583,Crissier
5586,Lausanne
5635,Ecublens (VD)
5648,Saint-Sulpice (VD)
5632,Denges
5633,Echandens
5638,Lonay
5643,Préverenges
5651,Villars-Sainte-Croix
5624,Bussigny
5489,Mex (VD)
5503,Vufflens-la-Ville
5586,Lausanne
5592,Romanel-sur-Lausanne
5582,Cheseaux-sur-Lausanne
5583,Crissier
5586,Lausanne
5473,Boussens
5472,Bournens
5501,Sullens
5521,Etagnières
5512,Bercher
5661,Boulens
5693,Montanaire
5518,Echallens
5537,Villars-le-Terroir
5535,Saint-Barthélemy (VD)
5540,Montilliez
5804,Jorat-Menthue
5540,Montilliez
5540,Montilliez
5533,Poliez-Pittet
5514,Bottens
5511,Assens
5513,Bioley-Orjulaz
5471,Bettens
5540,Montilliez
5522,Fey
5680,Ogens
5903,Bioley-Magnoux
5534,Rueyres
5534,Rueyres
5923,Oppens
5586,Lausanne
5587,Le Mont-sur-Lausanne
5516,Cugy (VD)
5586,Lausanne
5515,Bretigny-sur-Morrens
5527,Morrens (VD)
5523,Froideville
5804,Jorat-Menthue
5673,Hermenches
5804,Jorat-Menthue
5804,Jorat-Menthue
5804,Jorat-Menthue
5693,Montanaire
5693,Montanaire
5661,Boulens
5693,Montanaire
5804,Jorat-Menthue
5584,Epalinges
5586,Lausanne
5590,Pully
5607,Puidoux
5613,Bourg-en-Lavaux
5882,Chardonne
5601,Chexbres
5609,Rivaz
5610,Saint-Saphorin (Lavaux)
5882,Chardonne
5607,Puidoux
5609,Rivaz
5610,Saint-Saphorin (Lavaux)
5882,Chardonne
5604,Forel (Lavaux)
5611,Savigny
5604,Forel (Lavaux)
5611,Savigny
5806,Jorat-Mézières
5799,Servion
5788,Essertes
5604,Forel (Lavaux)
5799,Servion
5792,Montpreveyres
5785,Corcelles-le-Jorat
5806,Jorat-Mézières
5803,Vulliens
5806,Jorat-Mézières
5803,Vulliens
5798,Ropraz
5606,Lutry
5611,Savigny
5604,Forel (Lavaux)
5613,Bourg-en-Lavaux
5611,Savigny
5613,Bourg-en-Lavaux
5613,Bourg-en-Lavaux
5581,Belmont-sur-Lausanne
5606,Lutry
5606,Lutry
5588,Paudex
5606,Lutry
5613,Bourg-en-Lavaux
5607,Puidoux
5613,Bourg-en-Lavaux
5613,Bourg-en-Lavaux
5613,Bourg-en-Lavaux
5607,Puidoux
5613,Bourg-en-Lavaux
5642,Morges
5634,Echichens
5634,Echichens
5634,Echichens
5654,Vullierens
5478,Cottens (VD)
5485,Grancy
5622,Bremblens
5645,Romanel-sur-Morges
5621,Aclens
5484,Gollion
5634,Echichens
5650,Vaux-sur-Morges
5629,Clarmont
