municipality_number, postcode_number, postcode_supplement, pct_in_municipality
5586,1000,25,100
5586,1000,26,100
5586,1000,27,100
5586,1003,0,100
5586,1004,0,100
5586,1005,0,100
5586,1006,0,100
5586,1007,0,100
5589,1008,0,99.9
5591,1008,0,0.1
5585,1008,2,100
5590,1009,0,100
5586,1010,0,100
5586,1011,0,100
5586,1012,0,100
5627,1015,0,6
5635,1015,0,90
5648,1015,0,4
5586,1018,0,100
5591,1020,0,100
5627,1022,0,100
5583,1023,0,99.68
5586,1023,0,0.32
5635,1024,0,100
5648,1025,0,100
5632,1026,2,100
5633,1026,3,100
5638,1027,0,100
5643,1028,0,100
5651,1029,0,100
5624,1030,0,100
5489,1031,0,99.03
5503,1031,0,0.97
5586,1032,0,20.82
5592,1032,0,79.18
5582,1033,0,91.86
5583,1033,0,0.43
5586,1033,0,7.71
5473,1034,0,100
5472,1035,0,100
5501,1036,0,100
5521,1037,0,100
5512,1038,0,99.19
5661,1038,0,0.27
5693,1038,0,0.54
5518,1040,0,100
5537,1040,2,100
5535,1040,3,100
5540,1041,21,100
5804,1041,22,100
5540,1041,26,100
5540,1041,31,100
5533,1041,32,100
5514,1041,33,100
5511,1042,0,100
5513,1042,3,100
5471,1042,4,100
5540,1043,0,100
5522,1044,0,100
5680,1045,0,99.31
5903,1045,0,0.69
5534,1046,0,100
5534,1047,0,1.3
5923,1047,0,98.7
5586,1052,0,0.21
5587,1052,0,99.79
5516,1053,0,92.96
5586,1053,0,7.04
5515,1053,2,100
5527,1054,0,100
5523,1055,0,100
5804,1058,0,100
5673,1059,0,2.96
5804,1059,0,97.04
5804,1061,0,100
5804,1062,0,100
5693,1063,0,100
5693,1063,2,100
5661,1063,3,100
5693,1063,4,98.33
5804,1063,4,1.67
5584,1066,0,99.94
5586,1066,0,0.06
5590,1068,0,100
5607,1070,0,99.61
5613,1070,0,0.26
5882,1070,0,0.13
5601,1071,0,83.19
5609,1071,0,0.18
5610,1071,0,14.01
5882,1071,0,2.63
5607,1071,1,0.91
5609,1071,1,99.09
5610,1071,2,87.61
5882,1071,2,12.39
5604,1072,0,100
5611,1073,0,100
5604,1073,2,10.37
5611,1073,2,89.63
5806,1076,0,100
5799,1077,0,100
5788,1078,0,100
5604,1080,0,0.38
5799,1080,0,99.62
5792,1081,0,100
5785,1082,0,100
5806,1083,0,100
5803,1084,0,0.29
5806,1084,0,99.71
5803,1085,0,100
5798,1088,0,100
5606,1090,0,99.76
5611,1090,0,0.24
5604,1091,0,0.5
5613,1091,0,99.5
5611,1091,1,0.55
5613,1091,1,99.45
5613,1091,3,100
5581,1092,0,99.75
5606,1092,0,0.25
5606,1093,0,100
5588,1094,0,100
5606,1095,0,99.91
5613,1095,0,0.09
5607,1096,0,6.7
5613,1096,0,93.3
5613,1096,2,100
5613,1097,0,100
5607,1098,0,4.92
5613,1098,0,95.08
5642,1110,0,100
5634,1112,0,100
5634,1113,0,100
5634,1114,0,100
5654,1115,0,100
5478,1116,0,100
5485,1117,0,100
5622,1121,0,100
5645,1122,0,100
5621,1123,0,100
5484,1124,0,100
5634,1125,0,100
5650,1126,0,100
5629,1127,0,100
5421,1128,0,0.94
5644,1128,0,99.06
5649,1131,0,100
5639,1132,0,100
5653,1134,0,100
5628,1134,2,100
5631,1135,0,100
5625,1136,0,100
5500,1141,0,100
5494,1142,0,100
5421,1143,0,99.52
5500,1143,0,0.48
5423,1144,0,100
5425,1145,0,99.46
5435,1145,0,0.54
5431,1146,0,100
5492,1147,0,100
5486,1148,0,100
5488,1148,2,100
5486,1148,3,100
5479,1148,4,100
5491,1148,5,100
5758,1148,6,100
5474,1148,7,1.72
