number, supplement, name
1000,25,Lausanne 25
1000,26,Lausanne 26
1000,27,Lausanne 27
1003,0,Lausanne
1004,0,Lausanne
1005,0,Lausanne
1006,0,Lausanne
1007,0,Lausanne
1008,0,Prilly
1008,0,Prilly
1008,2,Jouxtens-Mézery
1009,0,Pully
1010,0,Lausanne
1011,0,Lausanne
1012,0,Lausanne
1015,0,Lausanne
1015,0,Lausanne
1015,0,Lausanne
1018,0,Lausanne
1020,0,Renens VD
1022,0,Chavannes-Renens
1023,0,Crissier
1023,0,Crissier
1024,0,Ecublens VD
1025,0,St-Sulpice VD
1026,2,Denges
1026,3,Echandens
1027,0,Lonay
1028,0,Préverenges
1029,0,Villars-Ste-Croix
1030,0,Bussigny
1031,0,Mex VD
1031,0,Mex VD
1032,0,Romanel-s-Lausanne
1032,0,Romanel-s-Lausanne
1033,0,Cheseaux-Lausanne
1033,0,Cheseaux-Lausanne
1033,0,Cheseaux-Lausanne
1034,0,Boussens
1035,0,Bournens
1036,0,Sullens
1037,0,Etagnières
1038,0,Bercher
1038,0,Bercher
1038,0,Bercher
1040,0,Echallens
1040,2,Villars-le-Terroir
1040,3,St-Barthélemy VD
1041,21,Dommartin
1041,22,Montaubion-Chardon
1041,26,Naz
1041,31,Poliez-le-Grand
1041,32,Poliez-Pittet
1041,33,Bottens
1042,0,Assens
1042,3,Bioley-Orjulaz
1042,4,Bettens
1043,0,Sugnens
1044,0,Fey
1045,0,Ogens
1045,0,Ogens
1046,0,Rueyres
1047,0,Oppens
1047,0,Oppens
1052,0,Mont-sur-Lausanne
1052,0,Mont-sur-Lausanne
1053,0,Cugy VD
1053,0,Cugy VD
1053,2,Bretigny-Morrens
1054,0,Morrens VD
1055,0,Froideville
1058,0,Villars-Tiercelin
1059,0,Peney-le-Jorat
1059,0,Peney-le-Jorat
1061,0,Villars-Mendraz
1062,0,Sottens
1063,0,Chapelle-s-Moudon
1063,2,Martherenges
1063,3,Boulens
1063,4,Peyres-Possens
1063,4,Peyres-Possens
1066,0,Epalinges
1066,0,Epalinges
1068,0,Les Monts-de-Pully
1070,0,Puidoux
1070,0,Puidoux
1070,0,Puidoux
1071,0,Chexbres
1071,0,Chexbres
1071,0,Chexbres
1071,0,Chexbres
1071,1,Rivaz
1071,1,Rivaz
1071,2,St-Saphorin-Lavaux
1071,2,St-Saphorin-Lavaux
1072,0,Forel (Lavaux)
1073,0,Savigny
1073,2,Mollie-Margot
1073,2,Mollie-Margot
1076,0,Ferlens VD
1077,0,Servion
1078,0,Essertes
1080,0,Les Cullayes
1080,0,Les Cullayes
1081,0,Montpreveyres
1082,0,Corcelles-le-Jorat
1083,0,Mézières VD
1084,0,Carrouge VD
1084,0,Carrouge VD
1085,0,Vulliens
1088,0,Ropraz
1090,0,La Croix (Lutry)
1090,0,La Croix (Lutry)
1091,0,Grandvaux
1091,0,Grandvaux
1091,1,Aran
1091,1,Aran
1091,3,Chenaux
1092,0,Belmont-Lausanne
1092,0,Belmont-Lausanne
1093,0,La Conversion
1094,0,Paudex
1095,0,Lutry
1095,0,Lutry
1096,0,Cully
1096,0,Cully
1096,2,Villette (Lavaux)
1097,0,Riex
1098,0,Epesses
1098,0,Epesses
1110,0,Morges
1112,0,Echichens
1113,0,St-Saphorin-Morges
1114,0,Colombier VD
1115,0,Vullierens
1116,0,Cottens VD
1117,0,Grancy
1121,0,Bremblens
1122,0,Romanel-sur-Morges
1123,0,Aclens
1124,0,Gollion
1125,0,Monnaz
1126,0,Vaux-sur-Morges
1127,0,Clarmont
1128,0,Reverolle
1128,0,Reverolle
1131,0,Tolochenaz
1132,0,Lully VD
1134,0,Vufflens-Château
1134,2,Chigny
1135,0,Denens
1136,0,Bussy-Chardonney
1141,0,Sévery
1142,0,Pampigny
1143,0,Apples
1143,0,Apples
1144,0,Ballens
1145,0,Bière
1145,0,Bière
1146,0,Mollens VD
1147,0,Montricher
1148,0,L'Isle
1148,2,Mauraz
1148,3,Villars-Bozon
1148,4,Cuarnens
1148,5,Mont-la-Ville
1148,6,La Praz
1148,7,Chavannes-Veyron
1148,7,Chavannes-Veyron
1148,8,Moiry VD
1148,9,La Coudre
1149,0,Berolle
1149,0,Berolle
1162,0,St-Prex
1162,0,St-Prex
1163,0,Etoy
1164,0,Buchillon
1165,0,Allaman
1166,0,Perroy
1166,0,Perroy
1167,0,Lussy-sur-Morges
1168,0,Villars-sous-Yens
1169,0,Yens
1170,0,Aubonne
1170,0,Aubonne
1170,0,Aubonne
1172,0,Bougy-Villars
1172,0,Bougy-Villars
1173,0,Féchy
1174,0,Montherod
1174,2,Pizy
1175,0,Lavigny
1176,0,St-Livres
1180,0,Rolle
1180,0,Rolle
1180,0,Rolle
1180,2,Tartegnin
1180,2,Tartegnin
1182,0,Gilly
1183,0,Bursins
1183,0,Bursins
1184,0,Luins
1184,1,Vinzel
1185,0,Mont-sur-Rolle
1185,0,Mont-sur-Rolle
1186,0,Essertines-Rolle
1186,0,Essertines-Rolle
1187,0,St-Oyens
1188,0,Gimel
1188,2,St-George
1189,0,Saubraz
1195,2,Dully
1195,2,Dully
1195,3,Bursinel
1195,3,Bursinel
1196,0,Gland
1196,0,Gland
1196,0,Gland
1197,0,Prangins
1201,0,Genève
1202,0,Genève
1202,0,Genève
1202,0,Genève
1203,0,Genève
1204,0,Genève
1205,0,Genève
1206,0,Genève
1207,0,Genève
1208,0,Genève
1209,0,Genève
1209,0,Genève
1209,0,Genève
1212,0,Grand-Lancy
1212,0,Grand-Lancy
1212,0,Grand-Lancy
1212,0,Grand-Lancy
1213,0,Petit-Lancy
